index,id,title,date,tags,images
392,3aad6f94-3ef1-80a2-9107-de73d57bd860,President Endorses Palestine Appeal,1936-08-06,US; The Americas; Political Zionism,images/0392-President-Endorses-Palestine-Appeal-1.png
393,3aad6f94-3ef1-8074-8789-e74737f1cf24,Palestine Peace Favored by Arabs,1936-08-25,Israel/Palestine; Arab World; Islamic World; Terrorism; Targeting of Civilians,images/0393-Palestine-Peace-Favored-by-Arabs-1.png
394,3aad6f94-3ef1-8077-b03f-e196135614a1,Arabs in Palestine Agree to Mediate,1936-08-30,Islamic World; Arab World; Israel/Palestine; Terrorism; Targeting of Civilians; Arab Higher Committee,images/0394-Arabs-in-Palestine-Agree-to-Mediate-1.png
395,3aad6f94-3ef1-80dd-9a39-cb0e7c2628df,Jerusalem,1936-08-17,Terrorism; Israel/Palestine; Arab World; Islamic World; Targeting of Civilians,images/0395-Jerusalem-1.png
396,3aad6f94-3ef1-8079-89b8-c8316d949d72,Jerusalem,1936-08-15,Israel/Palestine; Terrorism; Islamic World; Arab World; England/UK; Western Intervention,images/0396-Jerusalem-1.png
397,3aad6f94-3ef1-8093-95dd-e2912c400a1c,Reprisals by Jews in Palestine Seen,1936-08-23,Israel/Palestine; Terrorism; Arab World; Islamic World; Targeting of Civilians,images/0397-Reprisals-by-Jews-in-Palestine-Seen-1.png
398,3aad6f94-3ef1-80e5-84e1-cd8ade487705,2 Die in Palestine in New Disorders,1936-08-29,Targeting of Children; Terrorism; Islamic World; Arab World; Israel/Palestine,images/0398-2-Die-in-Palestine-in-New-Disorders-1.png
399,3aad6f94-3ef1-8018-8faa-f0866d313edf,Polish Nationalists Wreck Jews’ Homes,1936-08-24,Poland; Europe; Western Antisemitism; Pogroms,images/0399-Polish-Nationalists-Wreck-Jews-Homes-1.png
400,3aad6f94-3ef1-800b-b6a7-c9c777dc4804,Four Slain in Palestine,1936-08-03,Israel/Palestine; Arab World; Islamic World; Pogroms,images/0400-Four-Slain-in-Palestine-1.png
401,3aad6f94-3ef1-80eb-b287-f00b32350e2d,Palestine Terror Makes All Unsafe,1936-08-16,Terrorism; Israel/Palestine; Arab World; Islamic World,images/0401-Palestine-Terror-Makes-All-Unsafe-1.png
